Nombre,Empresa,Tecnología,Fase,Combustible,Matriz,Sector,Fecha operación,Capacidad (MW),Generación (GWh),Inversión (mdd),Modalidad,Entidad,Permiso CRE,MIA,Aprobación MIA,Notas,X,Y
San Miguel V (Orsipo 5 Solar),"Green Hub, S. de R. L. de C. V.",Fotovoltaica,En operación,Sol,Grenergy Renovables,Privado,2021,30,80.8,45,Generación,Guanajuato,E/2168/GEN/2019,11GU2017ED168,Autorizado,,-11195586.236582262,2379181.1656588134
CC Dulces Nombres III,Iberdrola Energia Monterrey S.A. de C.V.,Ciclo Combinado,En proyecto con permiso de la CRE terminado,Gas Natural,Iberdrola,Privado,null,498,4031,800,Generación,Nuevo León,E/1735/GEN/2016,,No encontrado,,-11142296.741405834,2964121.1614109003
Chara Solar,"CHARA SOLAR, S. A. DE C. V.",Fotovoltaica,En proyecto sin permiso de la CRE,Sol,"CHARA SOLAR, S. A. DE C. V.",Privado,null,73,null,30,No definida,Baja California,Permiso no encontrado,02BC2019E0048,Autorizado,,-12866045.450098602,3833208.375209198
Vallecitos I,Energía Aljaval,Fotovoltaica,En proyecto con permiso de la CRE revocado,Sol,Energía Aljaval,Privado,null,30,null,45,Pequeño Productor,Baja California,E/1384/PP/2015,02BC2015ED043,En evaluacion,,-12971741.10359409,3793176.4574314295
Terranova,"X-ELIO FV CONEJOS MEDANOS, S.A.P.I. DE C.V.",Fotovoltaica,En operación,Sol,X-Elio (Gestamp y KKR),Privado,2022,80,194,98,Generación,Chihuahua,E/1907/GEN/2017,08CI2018E0041,Autorizado condicionado,,-11855599.77579431,3703089.0303343637
Planta Aguascalientes,"Productos Farmacéuticos, S. A. de C. V., Planta Aguascalientes",Combustión interna,En operación,Diesel,"Productos Farmacéuticos, S. A. de C. V.",Privado,2008,4,3.2,3.6,Autoabastecimiento,Aguascalientes,E/724/AUT/2007,01AG2014ED011,Autorizado,,-11391693.741502063,2532068.4853187087
Planta Colonia Penal federal Islas Marías,Órgano Administrativo Desconcentrado Prevención y Readaptación Social,Combustión interna,En operación,Diesel,Órgano Administrativo Desconcentrado Prevención y Readaptación Social,Público,2006,3.05,10.69,2.75,Autoabastecimiento,Nayarit,E/792/AUT/2008,,No encontrado,,-11869856.957238743,2471868.306019554
Planta Cruz Azul Aguascalientes,"Cooperativa La Cruz Azul, S. C. L.",Combustión interna,En operación,Biogas,Cruz Azul,Privado,2015,1.01,8,0.91,Autoabastecimiento,Aguascalientes,E/1209/AUT/2014,,No encontrado,,-11442541.807662677,2486794.7244645027
Terminal Refrigerada Pajaritos,Pemex Transformación Industrial,Turbina de Gas,En proyecto con permiso de la CRE terminado,Gas Natural,PEMEX,Público,2006,14,121,12.6,Autoabastecimiento,Veracruz,E/545/AUT/2006,,No encontrado,,-10508370.4639985,2051795.5640684427
Altair Importación y Exportación,"Altair Importación y Exportación, S. A. P. I. de C. V.",Fotovoltaica,En proyecto con permiso de la CRE terminado,Sol,"Altair Importación y Exportación, S. A. P. I. de C. V.",Privado,null,30,70.95,45,Autoabastecimiento,Chihuahua,E/1503/AUT/2015,,No encontrado,,-11898726.607414426,3712324.0165014546
Alaia (II),"Energía Solar Alaia II, S. A. P. I. de C. V.",Fotovoltaica,En proyecto con permiso de la CRE terminado,Sol,Prana Power,Privado,null,30,70.95,45,Autoabastecimiento,Chihuahua,E/1505/AUT/2015,,No encontrado,,-11898214.480983837,3712793.3595074276
Yaqui Solar / Cajeme Solar,Zigor México,Fotovoltaica,En proyecto con permiso de la CRE terminado,Sol,Zigor,Privado,null,10,21.55,15,Autoabastecimiento,Sonora,E/1504/AUT/2015,,No encontrado,,-12242529.325079095,3178394.015256101
Gaya (AUT),"Hidroeléctricas Gaya, S. A. de C. V.",Turbina Hidráulica,En proyecto con permiso de la CRE revocado,Agua,"Hidroeléctricas Gaya, S. A. de C. V.",Privado,null,9,14.27,13.5,Autoabastecimiento,Puebla,E/1497/AUT/2015,21PU2016E0036,Negado,,-10856851.442263087,2268239.202325938
Amistad IV,"Parque Amistad IV, S. A. de C. V.",Eólico,En operación,Viento,Enel Green Power,Privado,2020,162,598.1,222.72,Generación,Coahuila,E/2009/GEN/2018,05CO2018E0057,Autorizado condicionado,,-11331493.164982868,3448624.620615569
Planta Cuautla,"Continental Automotive Mexicana, S. A. de C. V., Planta Cuautla",Combustión interna,En operación,Diesel,Continental,Privado,2010,2.59,1.39,2.33,Autoabastecimiento,Morelos,E/846/AUT/2010,,No encontrado,,-11011276.41359814,2125444.0517060654
Planta El Ahogado,"Atlatec, S. A. de C. V.",Combustión interna,En operación,Biogas,Mitsui,Privado,2012,2.83,10.11,2.55,Generación,Jalisco,E/885/GEN/2011,,No encontrado,,-11494489.900748659,2333454.8761404934
Planta Eléctrica Cárdenas,PEMEX,Turbina de Gas,En operación,Gas Residual,PEMEX,Público,2007,42,338.68,37.8,Cogeneración,Tabasco,E/638/COG/2007,,No encontrado,,-10385102.103816323,2036851.1058707552
Planta Fiesta Americana Grand Los Cabos,"Grupo Posadas, S. A. B. de C. V",Combustión interna,En operación,Diesel,"Grupo Posadas, S. A. B. de C. V",Privado,2007,2.09,3.02,1.88,Autoabastecimiento,Baja California Sur,E/519/AUT/2006,,No encontrado,,-12226178.871892277,2622542.7628848343
Planta Fiesta Americana Merida,"Inmobiliaria del Sudeste, S. A. de C. V.",Combustión interna,En operación,Diesel,"Grupo Posadas, S. A. B. de C. V",Privado,2006,1.51,1.07,1.36,Autoabastecimiento,Yucatán,E/516/AUT/2006,,No encontrado,,-9976336.827869909,2390267.6184519413
Planta Chihuahua,"QUINTO SOL ENERGÍA 5, S. DE R. L. DE C. V.",Fotovoltaica,En proyecto con permiso de la CRE revocado,Sol,"QUINTO SOL ENERGÍA 5, S. DE R. L. DE C. V.",Privado,null,30,75,45,Pequeño Productor,Chihuahua,E/1166/PP/2014,,No encontrado,,-11858975.386844914,3552899.2307903203
Planta de Fuerza 9,AHMSA,Ciclo Combinado,En proyecto sin permiso de la CRE,Gas Natural,AHMSA,Privado,null,100,null,49,No definida,Coahuila,Permiso no encontrado,,No encontrado,,-11294660.478747956,3109056.9391761427
Planta Latincasa,"Nacional de Conductores Eléctricos, S. A. de C. V.",Combustión interna,En operación,Diesel,"Nacional de Conductores Eléctricos, S. A. de C. V.",Privado,2007,3.75,3.06,3.38,Autoabastecimiento,San Luis Potosí,E/651/AUT/2007,,No encontrado,,-11232703.743753124,2522285.8079351448
Planta Lázaro Cárdenas,"ArcelorMittal México, S. A. de C. V.",Turbina de Vapor,En operación,Gas Natural,ArcelorMittal,Privado,1991,40,180.4,48,Autoabastecimiento,Michoacán,E/141/AUT/99,,No encontrado,,-11376834.694532732,2030380.0511391775
Planta Marinela de Baja California,"Bimbo, S. A. de C. V.",Combustión interna,En operación,Diesel,Grupo Bimbo,Privado,2007,1.2,1.25,1.08,Autoabastecimiento,Baja California,E/720/AUT/2007,,No encontrado,,-12846675.172972508,3844872.392796479
Planta Monterrey,"Ternium Mexico, S. A. de C. V., Planta Monterrey",Turbina de Gas,En operación,Gas Natural,Techint E&C (Ternium),Privado,1990,50,28,45,Autoabastecimiento,Nuevo León,E/140/AUT/99,,No encontrado,,-11165716.36185749,2964431.7488620477
Planta Nesté Estado de México,"Nestlé México, S. A. de C. V.",Combustión interna,En operación,Gas Natural,Nestlé,Privado,2004,2.45,20.41,2.21,Autoabastecimiento,Estado de México,E/263/AUT/2003,,No encontrado,,-11089515.31395136,2189112.422667553
Tezcapa,"Generadora Fénix, S. A. P. I. de C. V.",Turbina Hidráulica,En construcción,Agua,Mota-Engil / SME,Privado,null,5.3,27.86,5.1,Generación,Puebla,E/1863/GEN/2016,,No encontrado,,-10914683.15560293,2295918.3414807697
Planta Orizaba,"Cervecería Cuauhtémoc-Moctezuma, S. A. de C. V., Planta Orizaba",Turbina Hidráulica,En operación,Gas Natural,Heineken Holding NV,Privado,1991,6.22,24.53,null,Autoabastecimiento,Veracruz,E/114/AUT/98,,No encontrado,,-10810224.618985718,2136272.321948359
Central LFGE García,"Central LFGE García, S. de R. L. de C. V.",Combustión interna,En operación,Biogas,Grupo Piasa,Privado,2020,1,24,2.7,Autoabastecimiento,Nuevo León,E/1235/AUT/2014,,No encontrado,,-11193979.818406474,2969100.532266582
Central LFGE Cadereyta,"Central LFGE Cadereyta, S. de R. L. de C. V.",Combustión interna,En operación,Biogas,Grupo Piasa,Privado,2020,2,16,1.8,Generación,Nuevo León,E/1436/GEN/2015,,No encontrado,En 2025 el permiso E/1436/AUT/2015 cambió a E/1436/GEN/2015,-11129328.828907922,2953651.7572009256
Planta Mesolar 2,"Planta Mesolar 2, S. A. de C. V.",Fotovoltaica,En proyecto con permiso de la CRE revocado,Sol,Solaria Energia y Medio Ambiente S.A.,Privado,null,30,80.26,29.59,Generación,Sonora,E/2105/GEN/2018,,No encontrado,,-12208824.294634605,3671293.531183942
Planta Mesolar 1,"Planta Mesolar 1, S. A. de C. V.",Fotovoltaica,En proyecto con permiso de la CRE revocado,Sol,Solaria Energia y Medio Ambiente S.A.,Privado,null,30,81.25,30.37,Generación,Sonora,E/2106/GEN/2018,,No encontrado,,-12424795.826489547,3329977.6845374466
Central LFGE León,"Central LFGE León, S. de R. L. de C. V.",Combustión interna,En operación,Biogas,Grupo Piasa,Privado,2015,2.8,22.4,2.52,Autoabastecimiento,Guanajuato,E/1234/AUT/2014,,No encontrado,,-11329746.671265423,2412836.653070363
Central LFGE Tijuana,Central LFGE Tijuana S. A. de C.V.,Combustión interna,En proyecto con permiso de la CRE,Biogas,Grupo Piasa,Privado,null,4.2,33.6,3.78,Autoabastecimiento,Baja California,E/1435/AUT/2015,,No encontrado,,-12995989.584483905,3817326.694503425
Proyecto ANA,Grupo ICA,Turbina Hidráulica,En proyecto sin permiso de la CRE,Agua,Grupo ICA,Privado,null,15,null,24,No definida,Puebla,Permiso no encontrado,21PU2015E0055,Negado,,-10872026.739000203,2257875.3426963096
Proyecto BOCA,Grupo ICA,Turbina Hidráulica,En proyecto sin permiso de la CRE,Agua,Grupo ICA,Privado,null,9,null,null,No definida,Puebla,Permiso no encontrado,21PU2015E0055,Negado,,-10864430.271344986,2264510.2475242484
Proyecto DIEGO,Grupo ICA,Turbina Hidráulica,En proyecto sin permiso de la CRE,Agua,Grupo ICA,Privado,null,26,null,32,No definida,Puebla,Permiso no encontrado,21PU2015E0055,Negado,,-10857686.153653681,2268552.5226746495
San Francisco (Coahuila),"TEQUILA SOLAR PV I, S.A. DE C.V.",Fotovoltaica,En proyecto sin permiso de la CRE,Sol,Energía Aljaval,Privado,null,300,null,485,No definida,Coahuila,Permiso no encontrado,05CO2019E0052,Negado,,-11245237.637141164,2877892.510078487
CC Mexicali (GEN),Energia Azteca X S.A. de C.V.,Ciclo Combinado,En operación,Gas Natural,Saavi Energia,Privado,2003,218.62,1729.05,221.64,Generación,Baja California,E/1892/GEN/2017,,No encontrado,,-12871762.117832951,3842074.918620592
CCC Mérida,"Iberdrola Energía Monterrey, S.A. de C.V",Ciclo Combinado,En proyecto sin permiso de la CRE,Gas Natural,Iberdrola,Privado,null,579.1,null,426,No definida,Yucatán,,31YU2020E0057,Negado,,-9962867.457801403,2378398.7691593324
Ocampo Cuetzalin PH2,"Proyecto Ocampo, S. de R. L. de C. V.",Turbina Hidráulica,En proyecto con permiso de la CRE,Agua,SUSTAINABLE DEVELOPMENT-FRANCO GROUP S.C.,Privado,null,7.58,52,11.35,Autoabastecimiento,Veracruz,E/1035/AUT/2013,30VE2011E0016,Negado,,-10831591.796344627,2258350.9445722043
Ambrosio Figueroa,CFE,Turbina Hidráulica,En operación,Agua,CFE,Público,1965,30,150,45,Generación,Guerrero,E/1566/GEN/2015,,No encontrado,,-11083427.373451317,1934423.4538106704
Puerto Libertad (AT Solar),Acciona / Tuto Energy,Fotovoltaica,En operación,Sol,Acciona Energia / Grupo Alego,Privado,2019,137.5,401.38,90.82,Generación,Sonora,E/1763/GEN/2016,No encontrado,No encontrado,,-12540198.168888304,3498276.939916879
Quimi-Kao,"Quimi-Kao, S. A. de C. V.",Combustión interna,En operación,Gas Natural,Kao Corp.,Privado,2017,1.1,8.61,1.29,Generación,Jalisco,E/1554/GEN/2015,,No encontrado,,-11491095.574665261,2331630.4936457705
Mi Ranchito,"Fotovoltaica ENH, S. A. de C. V.",Fotovoltaica,En operación,Sol,Enerland Group Renewable Energy,Privado,2021,25,68.19,37.5,Generación,Sonora,E/1492/GEN/2015,,No encontrado,El permiso E/1492/AUT/2015 cambió en 2022 al E/1492/GEN/2015,-12374783.375633793,3375523.6886295034
Kiin (Ticopá),"Kiin, S. A. P. I. de C. V.",Fotovoltaica,En proyecto con permiso de la CRE terminado,Sol,"Kiin, S. A. P. I. de C. V.",Privado,null,10,24.5,15,Generación,Yucatán,E/1520/GEN/2015,31YU2017ED035,Autorizado,,-9958801.343081357,2377690.513443939
Práxedis,"Compañia Eólica Vicente Guerrero, S. A. de C. V.",Eólico,En operación,Viento,Grupo Energía México (GEMEX),Privado,2019,58,260.34,116,Autoabastecimiento,Tamaulipas,E/969/AUT/2012,28TM2016ED001,Autorizado condicionado,,-11005335.813349722,2720442.697615922
Servicios Compresión de Gas CA-KU-A1,"Servicios Compresión de Gas CA-KU-A1, S. A. P. I. de C. V.",Combustión interna,En operación,Gas Natural y Diesel,PEMEX,Privado,2020,14.83,77.56,29.35,Generación,Campeche,E/2225/GEN/2019,,No encontrado,,-10260948.820474036,2213377.913063108
Tampico Renewable Energy (GEN),"Tampico Renewable Energy, S. A. P. I. de C. V.",Turbina de Vapor,En operación,Bagazo de caña,Tampico Renewable Energy,Privado,null,15,75.6,9.27,Generación,Veracruz,E/2283/GEN/2022,,No encontrado,E/2259/GEN/2021 era el permiso anterior de esta central,-10929355.802537706,2513571.304487411
Granja Solar Tropica de Cancer 1,"Solenergize Zacatecas 1, S. A. de C. V.",Fotovoltaica,En proyecto con permiso de la CRE terminado,Sol,"Solenergize Zacatecas 1, S. A. de C. V.",Privado,null,30,68,45,Pequeño Productor,Zacatecas,E/1194/PP/2014,32ZA2016ED028,Desistido,,-11327000.962666668,2742967.39787105
CC Noreste (Escobedo) (GEN),CFE,Ciclo Combinado,En operación,Gas Natural,CFE,Público,2018,35,634.78,80.47,Generación,Nuevo León,E/2014/GEN/2018,19NL2014E0009,Autorizado condicionado,"No sabemos el estado de la central la resolucion RES/130/2021 señala que la permisionaria solicito ampliar la fecha para entrar en operación al 30 de Abril de 2021, pero la resolucion fue rechazada. La capacidad del permiso es de 80 MW. La capacidad co",-11172231.328376997,2982819.404462818
Aeropuerto Civil Gral. Felipe Angeles,Agrupamiento de Ingenieros “Felipe Ángeles,Fotovoltaica,En operación,Sol,Sedena,Público,2022,0.8,1.68,null,Generación,Estado de México,E/2270/GEN/2022,No encontrado,No encontrado,,-11019365.680393955,2241788.227741359
CC San Luis Potosi,CFE,Ciclo Combinado,En construcción,Gas Natural,CFE,Público,null,442,null,864,Generación,San Luis Potosí,E/1665/GEN/2015,24SL2015E0012,Autorizado,Fecha de operación prevista para mayo 2025,-11235799.143607894,2491761.001713861
Planta Proteinas Naturales,"Proteínas Naturales, S. A. de C. V.",Turbina de Gas,En operación,Gas Natural,Ragasa Industrias SA de CV,Privado,2013,6,38.2,5.4,Cogeneración,Nuevo León,E/996/COG/2013,,No encontrado,,-11149432.37419904,2961007.4538020696
Planta Puebla,"Ternium México, S. A. de C. V., Planta Puebla",Turbina de Vapor,En operación,Gas Natural,Techint E&C (Ternium),Privado,1991,5.6,30.24,6.72,Autoabastecimiento,Puebla,E/172/AUT/2000,,No encontrado,,-10944925.700153006,2174914.7051681443
Planta SuKarne Monterrey,"Ganadería Integral SK, S. A. de C. V.",Combustión interna,En operación,Diesel,"Ganadería Integral SK, S. A. de C. V.",Privado,2006,2.98,1.89,2.68,Autoabastecimiento,Nuevo León,E/525/AUT/2006,,No encontrado,,-11172338.851873154,2977461.2155541168
Planta tratamiento Atotonilco,"Aguas Tratadas del Valle de México, S. A. de C. V.",Combustión interna,En operación,Biogas,IDEAL,Privado,2017,32.6,200.59,29.34,Generación,Hidalgo,E/1002/GEN/2013,,No encontrado,,-11053608.284904633,2267985.9829406342
"Plataforma Akal-C, Compresión CA-AC-2",PEMEX,Turbina de Gas y Combustion interna,En operación,Gas Natural y Diesel,PEMEX,Público,2002,12.84,101.97,11.56,Autoabastecimiento,Campeche,E/206/AUT/2002,,No encontrado,,-10248950.846944546,2200852.1591089275
"Plataforma de Generacion Electrica, PG-ZAAP-C",Pemex-Exploracion y Produccion,Turbina de Gas,En operación,Diesel,PEMEX,Público,2011,73.36,642.63,90.32,Autoabastecimiento,Campeche,E/895/AUT/2011,4CA2010X0004,Autorizado condicionado,,-10267573.34986277,2221606.5236636237
Plataforma de Producción Abkatun-A2,PEMEX,Turbina de Gas y Combustion interna,En operación,Gas Dulce y Diesel,PEMEX,Público,2019,30.9,259.7,20.5,Generación,Campeche,E/2148/GEN/2019,,No encontrado,,-10260078.501317918,2187214.966313595
Polímeros y Derivados,"Polímeros y Derivados, S. A. de C. V.",Combustión interna,En operación,Gas Natural,"Polímeros y Derivados, S. A. de C. V.",Privado,2019,5,26.66,3.79,Generación,Guanajuato,E/2083/GEN/2018,,No encontrado,,-11317459.300455721,2410815.937136447
Polioles,"Polioles, S. A. de C. V.",Turbina de Vapor,En operación,Gas Natural,Alfa S.A.B de C.V.,Privado,2011,2.5,16.75,3,Cogeneración,Estado de México,E/875/COG/2010,,No encontrado,,-11079938.275519434,2188709.658777684
Pollo de Querétaro,"Pollo de Querétaro, S. A. de C. V.",Combustión interna,En operación,Diesel,"Pollo de Querétaro, S. A. de C. V.",Privado,2011,1.51,1.57,1.36,Autoabastecimiento,Queretaro,E/881/AUT/2011,,No encontrado,,-11145896.3083476,2347362.999984073
Posco Mexico,"Posco México, S. A. de C. V.",Combustión interna,En operación,Gas Natural,POSCO,Privado,2010,21,166.03,18.9,Autoabastecimiento,Tamaulipas,E/848/AUT/2010,,No encontrado,,-10898293.748386698,2569674.7584731975
Plasticos y Materias Primas (planta térmica),Plasticos y Materias Primas SA de CV,Combustión interna,En operación,Diesel,Plasticos y Materias Primas SA de CV,Privado,2006,4.5,4.68,4.05,Autoabastecimiento,Jalisco,E/572/AUT/2006,,No encontrado,,-11503353.500356456,2346337.526171824
Plasticos y Materias Primas (planta solar),Plasticos y Materias Primas SA de CV,Fotovoltaica,En construcción,Sol,Plasticos y Materias Primas SA de CV,Privado,null,1,2.01,1.61,Autoabastecimiento,Jalisco,E/1411/AUT/2015,,No encontrado,,-11503367.739232523,2346427.3906166856
Guanajuato Solar,Guanajuato Solar Farm 1 S.A.P.I. de C.V.,Fotovoltaica,En proyecto con permiso de la CRE terminado,Sol,Guanajuato Solar Farm 1 S.A.P.I. de C.V.,Privado,null,137,383,130,Generación,Guanajuato,E/2144/GEN/2019,11GU2018E0172,Autorizado,,-11217785.727509936,2454793.3677327293
Printpack Packaging de México,Printpack Packaging de México S. A. de C. V.,Combustión interna,En operación,Diesel,Printpack Packaging de México S. A. de C. V.,Privado,2006,2,0.59,1.8,Autoabastecimiento,Queretaro,E/529/AUT/2006,,No encontrado,,-11164105.483109703,2340545.8296619025
Procesamiento Energético Mexicano,"Procesamiento Energético Mexicano, S. A. de C. V.",Turbina Hidráulica,En operación,Agua,"Procesamiento Energético Mexicano, S. A. de C. V.",Privado,2007,11.3,61.85,16.95,Autoabastecimiento,Veracruz,E/588/AUT/2007,,No encontrado,,-10806015.898431992,2136482.776127496
Productos Alimenticios La Moderna,"Productos Alimenticios La Moderna, S. A. de C. V.",Combustión interna,En operación,Vapor,Grupo La Moderna SA de CV,Privado,2016,3.77,31.95,3.39,Cogeneración,Jalisco,E/1008/COG/2013,,No encontrado,,-11518348.831325585,2357889.955660546
Productos Farmacéuticos,"Productos Farmacéuticos, S. A. de C. V.",Combustión interna,En operación,Gas Natural,"Productos Farmacéuticos, S. A. de C. V.",Privado,2015,4.1,30.29,3.69,Cogeneración,Aguascalientes,E/1348/COG/2015,,No encontrado,,-11391687.43525291,2532033.8067145622
Productos Urólogos de México,"Productos Urólogos de México, S. A. de C. V.",Combustión interna,En operación,Diesel,Becton Dickinson and Co.,Privado,2009,3,1.35,2.7,Autoabastecimiento,Baja California,E/831/AUT/2009,,No encontrado,,-12843787.011047773,3840966.258371543
Promotora,"Promotora V. A., S. A. de C. V.",Fotovoltaica,En construcción,Sol,"Promotora V. A., S. A. de C. V.",Privado,null,1.89,3.46,3.3,Generación,Guanajuato,E/2224/GEN/2019,,No encontrado,,-11189373.493574701,2336352.060406632
Pronumex,"Pronumex, S. de R. L. de C. V.",Motogenerador,En proyecto con permiso de la CRE,Gas Natural,"Pronumex, S. de R. L. de C. V.",Privado,null,1.4,11.32,2.52,Generación,Estado de México,E/2200/GEN/2019,,No encontrado,,-11100498.633699361,2204336.6211021175
Proveedor de Alimentos y Restaurantero de Jalisco,"Proveedor de Alimentos y Restaurantero de Jalisco, S. A. de C. V.",Combustión interna,En construcción,Diesel,"Proveedor de Alimentos y Restaurantero de Jalisco, S. A. de C. V.",Privado,null,1,0.42,0.9,Autoabastecimiento,Baja California,E/1236/AUT/2014,,No encontrado,,-12847156.805654984,3845228.9339476605
Qualtia Alimentos Operacione,"Qualtia Alimentos Operaciones, S. de R. L. de C. V.",Combustión interna,En operación,Gas Natural,Tyson Foods Inc.,Privado,2014,5.33,41.98,4.79,Autoabastecimiento,Estado de México,E/1150/AUT/2014,,No encontrado,,-11043918.29392498,2241059.9922288125
Químicos y Plásticos Centurión,"Químicos y Plásticos Centurión, S. A. de C. V.",Combustión interna,En operación,Gas Natural,"Químicos y Plásticos Centurión, S. A. de C. V.",Privado,2018,1.2,9.79,0.81,Generación,Hidalgo,E/2079/GEN/2018,,No encontrado,,-11010934.702836424,2255685.1491702977
Potencial Productivo Verde,"Potencial Productivo Verde, S. A. de C. V.",Energía cinética,En proyecto con permiso de la CRE revocado,Energia Cinetica,"Potencial Productivo Verde, S. A. de C. V.",Privado,null,7.42,43.36,19,Generación,Baja California Sur,E/2118/GEN/2018,03BS2018E0008,Autorizado condicionado,,-12241089.822687386,2622052.4265536456
Planta Solar Sonora 2,"Planta Solar Sonora 2, S. A. de C. V.",Fotovoltaica,En proyecto con permiso de la CRE revocado,Sol,"Planta Solar Sonora 2, S. A. de C. V.",Privado,null,120,303.21,137,Generación,Puebla,E/1943/GEN/2017,,No encontrado,,-10862173.71506031,2195812.784879306
Instituto Nacional de Electricidad y Energías Limpias,Instituto Nacional de Electricidad y Energías Limpias,Eólico,En operación,Viento,Instituto Nacional de Electricidad y Energías Limpias,Público,2010,5,22,10,Pequeño Productor,Oaxaca,E/575/PP/2007,,No encontrado,,-10570334.506004708,1868010.1473522496
Cesantoni Calera Planta 2,"Cesantoni, S. A. de C. V.",Combustión interna,En proyecto con permiso de la CRE,Gas Natural,Cesantoni,Privado,null,1.51,11.5,null,Generación,Zacatecas,E/2264/GEN/2022,No encontrado,No encontrado,,-11430034.243560601,2622835.944134871
Cesantoni Calera Planta 1,"Cesantoni, S. A. de C. V.",Combustión interna,En proyecto con permiso de la CRE,Gas Natural,Cesantoni,Privado,null,1.51,11.5,null,Generación,Zacatecas,E/2263/GEN/2022,No encontrado,No encontrado,,-11429676.758827036,2622172.2240347792
Refinería General Lazaro Cárdenas (GEN),Pemex Transformacion Industrial,Turbina de Vapor,En operación,Gas Natural y Combustoleo,PEMEX,Público,2007,64,297.84,76.8,Generación,Veracruz,E/608/GEN/2007,,No encontrado,E/608/COG/2007 era el permiso anterior de esta central,-10523837.812985687,2034971.8405515526
Refineria Ing. Hector Lara Sosa,Pemex Transformacion Industrial,Turbina de Vapor y Turboexpansor,En operación,Gas Natural,PEMEX,Público,2007,79,368.84,91.8,Generación,Nuevo León,E/612/GEN/2007,,No encontrado,,-11124315.125946812,2948479.162762686
Renova Atlatec,"Renova Atlatec, S. A. de C. V.",Combustión interna,En operación,Biogas,"Renova Atlatec, S. A. de C. V.",Privado,2014,11.41,87.44,10.27,Generación,Jalisco,E/1111/GEN/2014,,No encontrado,,-11481702.480559923,2381743.653240907
Representaciones e Investigaciones Médicas,"Representaciones e Investigaciones Médicas, S. A. de C. V.",Turbina de Gas,En operación,Gas Natural,Teva Pharmaceutical Industries Ltd.,Privado,2013,1,7.19,0.9,Autoabastecimiento,Jalisco,E/1032/AUT/2013,,No encontrado,,-11527186.037082115,2359525.8307087035
Rivera Mayan,"Rivera Mayan, S. A. de C. V.",Combustión interna,En operación,Diesel,"Rivera Mayan, S. A. de C. V.",Privado,2011,4,2.86,3.6,Autoabastecimiento,Quintana Roo,E/865/AUT/2010,,No encontrado,,-9679674.445840856,2363942.404161922
Romamills,"Grupo Romamills, S. A. de C. V.",Combustión interna,En operación,Gas Natural,"Grupo Romamills, S. A. de C. V.",Privado,2016,6.58,51.84,3.32,Generación,Estado de México,E/1739/GEN/2016,,No encontrado,,-11041457.084548848,2236455.111546002
Ronal San Luis,"Ronal San Luis, S. A. de C. V.",Combustión interna,En operación,Gas Natural,Ronal AG,Privado,2016,5.94,38.64,7.21,Generación,San Luis Potosí,E/1550/GEN/2015,,No encontrado,,-11228874.097235007,2508067.1993525694
AT Solar V,"AT Solar V, S. de R. L. de C. V",Fotovoltaica,En operación,Sol,Acciona Energia,Privado,2019,180,478.26,270,Generación,Sonora,E/1350/GEN/2015,26SO2018E0103,Autorizado condicionado,,-12541353.47929919,3499115.15876466
Ropa Siete Leguas,"CMT de La Laguna, S. A. de C. V.",Combustión interna,En operación,Diesel,"CMT de La Laguna, S. A. de C. V.",Privado,2004,1.6,1.15,1.44,Autoabastecimiento,Durango,E/310/AUT/2004,,No encontrado,,-11525255.699225625,2943205.760086591
Río Amarillo,"Hidroeléctrico Río Amarillo, S.A. de C.V. ",Turbina Hidráulica,En proyecto sin permiso de la CRE,Agua,"Hidroeléctrico Río Amarillo, S.A. de C.V. ",Privado,null,30,null,25,No definida,Chiapas,Permiso no encontrado,07CH2011ED038,Autorizado condicionado,,-10316394.446169714,1883453.7820677997
El Cascabel Solar,SOLAR ENERGY HUMAN CAPITAL S. DE R.L. DE C.V,Fotovoltaica,En proyecto sin permiso de la CRE,Sol,Grupo Solarig,Privado,null,75,null,44,No definida,Sonora,null,26SO2025E0002,En evaluacion,null,-12517275.178080928,3588851.5985135403
Santa Ana,Intenergy Mexico SA de CV,Fotovoltaica,En proyecto con permiso de la CRE revocado,Sol,Intenergy Mexico SA de CV,Privado,null,26,43,39,Generación,Sonora,E/1391/GEN/2015,,No encontrado,,-12367150.149169521,3554399.3187433537
AIFA Gas 2,Secretaría de la Defensa Nacional,Turbina de Vapor y Motogenerador,En operación,Gas Natural y Diesel,Sedena,Público,null,20.7,160.68,null,Generación,Estado de México,E/2269/GEN/2022,No encontrado,No encontrado,,-11024139.788188642,2240874.102829211
Río Bravo,"Compañia Eólica Río Bravo, S. A. de C. V.",Eólico,En proyecto con permiso de la CRE,Viento,Grupo Energía México (GEMEX),Privado,null,66,219.7,132,Autoabastecimiento,Tamaulipas,E/2165/AUT/2019,,No encontrado,,-10949380.69838219,2902134.1568213664
Rosch América,"Rosch América, S. A. de C. V.",Energía cinética,En proyecto con permiso de la CRE,Energia Cinetica,"Rosch América, S. A. de C. V.",Privado,null,7.42,43.36,18,Generación,Baja California Sur,E/2092/GEN/2018,03BS2016ED015,Autorizado condicionado,,-12241015.431211272,2622014.25557473
Sabormex,"Sabormex, S. A. de C. V.",Combustión interna,En operación,Gas Natural,"Sabormex, S. A. de C. V.",Privado,2017,3,25.04,3,Generación,Puebla,E/1839/GEN/2016,21PU2016ED029,Negado,,-10925850.318376778,2164250.875454527
