Nombre,Empresa,Tecnología,Fase,Combustible,Matriz,Sector,Fecha operación,Capacidad (MW),Generación (GWh),Inversión (mdd),Modalidad,Entidad,Permiso CRE,MIA,Aprobación MIA,Notas,X,Y
Baja California III (PIE),CFE,Ciclo Combinado,En operación,Gas Natural,CFE,Público,2017,294,2080,306.84,Productor Independiente de Energía,Baja California,E/1125/PIE/2014,02BC2010E0007,Autorizado condicionado,La CRE señala 302.66 MW de capacidad y la CFE 294 MW de Capacidad Neta Demostrada.  Será operada por CFE a partir de la venta de la central a un fideicomiso donde FONDIN tiene la mayoría del capital,-13007908.014671246,3762306.6346579264
Border Solar Norte,CENTRAL FOTOVOLTAICA BORDER SOLAR NORTE S.A DE C.V filial de IENOVA,Fotovoltaica,En operación,Sol,Sempra Energy,Privado,2021,150,456.5,225,Autoabastecimiento,Chihuahua,E/1491/AUT/2015,08CI2019E0006,Autorizado condicionado,,-11859187.606322162,3702588.164968641
Botello,CFE,Turbina Hidráulica,En operación,Agua,CFE,Público,1910,18,82,27,Generación,Michoacán,E/1585/GEN/2015,,No encontrado,,-11325207.162618415,2270578.249363412
Camargo,"AVANT ENERGIAS RENOVABLES I, S.A.P.I. DE C.V. filial de Avant Energy, en 2016 vendió el proyecto a Fundo Balam",Fotovoltaica,En operación,Sol,Fundo Balam,Privado,2017,29.36,85.6,44.04,Generación,Chihuahua,E/1169/GEN/2014,08CI2014ED043,Autorizado condicionado,,-11696942.52536169,3205175.062254227
Camargo Santa Rosalia,"MAG ENERGIA, S. DE R. L. DE C. V",Fotovoltaica,En proyecto con permiso de la CRE,Sol,"MAG ENERGIA, S. DE R. L. DE C. V",Privado,null,110,336.17,104,Generación,Chihuahua,E/2146/GEN/2019,08CI2018E0153,Autorizado condicionado,,-11699531.8044724,3208000.51491986
Bio Pappel Scribe Querétaro,"Bio Pappel Scribe, S. A. de C. V.",Turbina de Gas y Turbina de Vapor,En operación,Gas Natural,Bio Pappel S.A.B de C.V.,Privado,2017,32.01,168.92,26.77,Generación,Queretaro,E/1791/GEN/2016,22QE2016ED008,Autorizado condicionado,,-11130166.246475337,2318114.118668012
Bio Pappel Scribe (GEN),"Bio Pappel Scribe, S. A. de C. V.",Turbina de Vapor,En operación,Vapor,Bio Pappel S.A.B de C.V.,Privado,2017,11.6,96.54,7.3,Generación,Veracruz,E/1949/GEN/2017,30VE2012E0014,Autorizado condicionado,,-10703738.709538281,2067655.1174835274
CC La Caridad (GEN),México Generadora de Energía (Grupo México),Ciclo Combinado,En operación,Gas Natural,Grupo México,Privado,2013,130,1139,131.79,Generación,Sonora,E/1908/GEN/2017,26SO2011ED023,No disponible,,-12202742.792853907,3570838.0504842587
Biogas de Juarez,"Transformadora de Energía Eléctrica de Juárez, S. A. de C. V.",Combustión interna,En operación,Biogas,Biogas de Juarez SA de CV,Privado,2011,6.4,39.24,5.76,Autoabastecimiento,Chihuahua,E/825/AUT/2009,08CI2019ED002,Autorizado,,-11854487.200935941,3705751.191728169
CTG Baja California II Fase I (3 unidades),CFE,Turbina de Gas,En operación,Gas Natural,CFE,Público,1982,135,2932,0,Generación,Baja California,E/2039/GEN/2018,02BC2011E0007,Autorizado condicionado,,-13032150.758154504,3812048.6355127613
CTG Tijuana (1 y 2),CFE Generacion IV,Turbina de Gas,En operación,Gas Natural,CFE,Público,1982,60,2932,0,Generación,Baja California,E/2039/GEN/2018,,No encontrado,,-13031923.9257677,3812207.838901842
CTG Tijuana (Unidad 3),CFE Generacion IV,Turbina de Gas,En operación,Gas Natural,CFE,Público,1982,150,2932,0,Generación,Baja California,E/2039/GEN/2018,,No encontrado,,-13031912.872855458,3812246.0195623436
CC Merida III,AES Mérida III S. de R.L. de C.V.,Ciclo Combinado,En operación,Gas Natural,AES Corporation,Privado,2000,484,3400,539,Productor Independiente de Energía,Yucatán,E/57/PIE/97,,No encontrado,La CRE señala 532 MW de capacidad y la CFE 484 MW de Capacidad Neta Demostrada,-9985265.59502081,2383964.16725344
CC Baja California,CFE,Ciclo Combinado,En operación,Gas Natural,CFE,Público,2009,265,5406.64,1167.67,Generación,Baja California,E/1662/GEN/2015,02BC2005E0010,Autorizado condicionado,"Se redujo la capacidad en 2016 de la unidad 10 pasando de 185 MW a 175 MW, y de la unidad 11 que paso de 92 MW a 90 MW, por lo que la capacidad de la central disminuyo a 265 MW",-13032288.006181095,3811620.775249451
Caborca II,"PROMOCION FOTOVOLTAICA VALLADOLID, S.A.P.I. DE C.V.",Fotovoltaica,En proyecto sin permiso de la CRE,Sol,"PROMOCION FOTOVOLTAICA VALLADOLID, S.A.P.I. DE C.V.",Privado,null,200,null,35,No definida,Sonora,Permiso no encontrado,26SO2018E0111,En evaluacion,,-12491971.722376866,3597344.1762637463
CC Altamira III y IV (PIE),CFE,Ciclo Combinado,En operación,Gas Natural,CFE,Público,2003,1036,8202.49,1169.62,Productor Independiente de Energía,Tamaulipas,E/185/PIE/2001,28TM2000E0087,Autorizado condicionado,"La CRE señala 1153.7 MW de capacidad permisionada, la CFE 1036 MW de Capacidad Neta Demostrada. Será operada por CFE a partir de la venta de la central a un fideicomiso donde FONDIN tiene la mayoría del capital.",-10898332.771434195,2570926.7408055537
Cantarell,"Compañía de Nitrógeno de Cantarell, S. A. de C. V.",Turbina de Gas y Combustion interna,En operación,Gas Natural,"Compañía de Nitrógeno de Cantarell, S. A. de C. V.",Privado,2000,362.6,2452.8,326.34,Cogeneración,Campeche,E/148/COG/99,,No encontrado,,-10270810.735501654,2109144.0088854814
Cartones Ponderosa,"Cartones Ponderosa, S. A. de C. V.",Combustión interna,En operación,"Gas Natural, Diesel y Combustoleo",Empaques Ponderosa S.A de C.V.,Privado,2005,19.99,154.41,17.99,Cogeneración,Queretaro,E/325/COG/2005,,No encontrado,,-11130217.37106468,2322994.495992112
Caterpillar Monterrey,"Caterpillar México, S. A. de C. V.",Combustión interna,En operación,Gas Natural,Caterpillar,Privado,2016,5.88,50,3.5,Generación,Nuevo León,E/1529/GEN/2015,19NL2014ED068,Autorizado condicionado,,-11189869.659016702,2965452.5193073996
Caterpillar Torreon,"Caterpillar Torreón, S. de R. L. de C. V.",Combustión interna,En operación,Gas Natural,Caterpillar,Privado,2015,5.88,50,3.5,Generación,Coahuila,E/1530/GEN/2015,05CO2014ED034,Autorizado condicionado,,-11505717.466591407,2934072.083058099
